date_value,row_count
202002,45409
202003,42094
202004,49012
202006,47286
202007,46679
202008,41278
202009,46424
202010,54674
202011,42121
202012,45520
202101,45488
202102,46535
202104,48811
202105,53279
202106,54863
202107,53810
202108,63454
202111,41887
202112,38537
202201,52359
202202,54654
202203,49557
202204,45106
202206,51924
202207,50574
202208,49552
202209,47547
202210,48527
202211,50514
202212,46674
202301,53431
202302,51224
202303,46584
202304,50881
202305,50635
202306,54891
202307,49333
202308,45711
202309,52527
202310,53785
202311,47045
202312,51201
202401,46291
202402,54044
202403,49803
202404,50925
202405,54459
202406,48150
202407,46139
202408,45750
202409,48733
202410,49741
202411,46307
202412,48814
202501,46654
202503,49554
202504,38791
202505,57036
202506,53008
202507,51065
202508,57592
202509,48432
202510,49374
202511,34096
202512,54980
202601,47803
202602,53751
202603,49010
202604,47677
202605,52573
202606,51216
202608,64748
202609,48598
202610,50313
202612,48752
202701,45525
202702,50168
202703,51572
202704,49386
202705,46084
202706,48456
202707,54292
202708,50155
202710,53179
202711,45813
202712,52517
202801,38185
202802,49339
202803,47287
202804,49040
202805,54197
202806,53830
202807,49304
202808,54577
202809,52019
202810,54560
202811,51543
202812,50930
202901,48593
202902,47266
202903,53348
202904,53085
202905,46489
202906,45771
202907,46796
202908,47504
202909,47621
202910,51916
202911,54771
202912,46040
203001,51304
203002,51252
203003,54763
203004,52668
203007,54064
203008,56244
203009,46876
203010,53797
203011,49371
203012,50573
203101,46827
203102,49808
203103,52123
203105,52433
203106,32417
203108,53201
203109,47927
203110,53317
203111,46743
203112,49889
203201,53317
203203,34080
203204,40719
203205,51126
203206,47646
