column_name,dt,col_type,n_total,n_missing,n_unique,mean,std,min_val,max_val,top_10
month_dt,202002,categorical,45409,0,1,,,,202002,{}
account_id,202002,numeric,45409,0,8500,55000.2,25000.5,10000,99999,
txn_type,202002,categorical,45409,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
transaction_amount,202002,numeric,45409,5,45309,5500.50,3200.25,0.01,999999.99,
channel,202002,categorical,45409,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
month_dt,202003,categorical,42094,0,1,,,,202003,{}
account_id,202003,numeric,42094,0,8500,55000.2,25000.5,10000,99999,
txn_type,202003,categorical,42094,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
transaction_amount,202003,numeric,42094,5,41994,5500.50,3200.25,0.01,999999.99,
channel,202003,categorical,42094,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
month_dt,202004,categorical,49012,0,1,,,,202004,{}
account_id,202004,numeric,49012,0,8500,55000.2,25000.5,10000,99999,
txn_type,202004,categorical,49012,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
transaction_amount,202004,numeric,49012,5,48912,5500.50,3200.25,0.01,999999.99,
channel,202004,categorical,49012,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
month_dt,202006,categorical,47286,0,1,,,,202006,{}
account_id,202006,numeric,47286,0,8500,55000.2,25000.5,10000,99999,
txn_type,202006,categorical,47286,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
transaction_amount,202006,numeric,47286,5,47186,5500.50,3200.25,0.01,999999.99,
channel,202006,categorical,47286,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
month_dt,202007,categorical,46679,0,1,,,,202007,{}
account_id,202007,numeric,46679,0,8500,55000.2,25000.5,10000,99999,
txn_type,202007,categorical,46679,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
transaction_amount,202007,numeric,46679,5,46579,5500.50,3200.25,0.01,999999.99,
channel,202007,categorical,46679,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
month_dt,202008,categorical,41278,0,1,,,,202008,{}
account_id,202008,numeric,41278,0,8500,55000.2,25000.5,10000,99999,
txn_type,202008,categorical,41278,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
transaction_amount,202008,numeric,41278,5,41178,5500.50,3200.25,0.01,999999.99,
