column_name,dt,col_type,n_total,n_missing,n_unique,mean,std,min_val,max_val,top_10
MONTH_DT,202002,numeric,45409,0,1,202002,0,202002,202002,
ACCT_ID,202002,numeric,45409,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202002,categorical,45409,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202002,numeric,45409,5,45309,5500.50,3200.25,0.01,999999.99,
CHANNEL,202002,categorical,45409,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202003,numeric,49506,0,1,202003,0,202003,202003,
ACCT_ID,202003,numeric,49506,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202003,categorical,49506,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202003,numeric,49506,5,49406,5500.50,3200.25,0.01,999999.99,
CHANNEL,202003,categorical,49506,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202004,numeric,49012,0,1,202004,0,202004,202004,
ACCT_ID,202004,numeric,49012,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202004,categorical,49012,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202004,numeric,49012,5,48912,5500.50,3200.25,0.01,999999.99,
CHANNEL,202004,categorical,49012,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202006,numeric,47286,0,1,202006,0,202006,202006,
ACCT_ID,202006,numeric,47286,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202006,categorical,47286,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202006,numeric,47286,5,47186,5500.50,3200.25,0.01,999999.99,
CHANNEL,202006,categorical,47286,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202007,numeric,46679,0,1,202007,0,202007,202007,
ACCT_ID,202007,numeric,46679,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202007,categorical,46679,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202007,numeric,46679,5,46579,5500.50,3200.25,0.01,999999.99,
CHANNEL,202007,categorical,46679,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202008,numeric,53935,0,1,202008,0,202008,202008,
ACCT_ID,202008,numeric,53935,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202008,categorical,53935,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202008,numeric,53935,5,53835,5500.50,3200.25,0.01,999999.99,
CHANNEL,202008,categorical,53935,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202009,numeric,46424,0,1,202009,0,202009,202009,
ACCT_ID,202009,numeric,46424,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202009,categorical,46424,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202009,numeric,46424,5,46324,5500.50,3200.25,0.01,999999.99,
CHANNEL,202009,categorical,46424,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202010,numeric,54674,0,1,202010,0,202010,202010,
ACCT_ID,202010,numeric,54674,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202010,categorical,54674,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202010,numeric,54674,5,54574,5500.50,3200.25,0.01,999999.99,
CHANNEL,202010,categorical,54674,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202011,numeric,51912,0,1,202011,0,202011,202011,
ACCT_ID,202011,numeric,51912,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202011,categorical,51912,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202011,numeric,51912,5,51812,5500.50,3200.25,0.01,999999.99,
CHANNEL,202011,categorical,51912,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202101,numeric,45488,0,1,202101,0,202101,202101,
ACCT_ID,202101,numeric,45488,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202101,categorical,45488,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202101,numeric,45488,5,45388,5500.50,3200.25,0.01,999999.99,
CHANNEL,202101,categorical,45488,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202102,numeric,46535,0,1,202102,0,202102,202102,
ACCT_ID,202102,numeric,46535,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202102,categorical,46535,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202102,numeric,46535,5,46435,5500.50,3200.25,0.01,999999.99,
CHANNEL,202102,categorical,46535,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202104,numeric,48811,0,1,202104,0,202104,202104,
ACCT_ID,202104,numeric,48811,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202104,categorical,48811,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202104,numeric,48811,5,48711,5500.50,3200.25,0.01,999999.99,
CHANNEL,202104,categorical,48811,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202105,numeric,53279,0,1,202105,0,202105,202105,
ACCT_ID,202105,numeric,53279,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202105,categorical,53279,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202105,numeric,53279,5,53179,5500.50,3200.25,0.01,999999.99,
CHANNEL,202105,categorical,53279,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202107,numeric,45434,0,1,202107,0,202107,202107,
ACCT_ID,202107,numeric,45434,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202107,categorical,45434,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202107,numeric,45434,5,45334,5500.50,3200.25,0.01,999999.99,
CHANNEL,202107,categorical,45434,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202108,numeric,54195,0,1,202108,0,202108,202108,
ACCT_ID,202108,numeric,54195,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202108,categorical,54195,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202108,numeric,54195,5,54095,5500.50,3200.25,0.01,999999.99,
CHANNEL,202108,categorical,54195,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202112,numeric,48611,0,1,202112,0,202112,202112,
ACCT_ID,202112,numeric,48611,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202112,categorical,48611,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202112,numeric,48611,5,48511,5500.50,3200.25,0.01,999999.99,
CHANNEL,202112,categorical,48611,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202201,numeric,52359,0,1,202201,0,202201,202201,
ACCT_ID,202201,numeric,52359,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202201,categorical,52359,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202201,numeric,52359,5,52259,5500.50,3200.25,0.01,999999.99,
CHANNEL,202201,categorical,52359,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202202,numeric,54654,0,1,202202,0,202202,202202,
ACCT_ID,202202,numeric,54654,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202202,categorical,54654,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202202,numeric,54654,5,54554,5500.50,3200.25,0.01,999999.99,
CHANNEL,202202,categorical,54654,2,6,,,ATM,WEB,"[{"value": "WEB", "count": 25000}, {"value": "MOBILE", "count": 15000}, {"value": "ATM", "count": 8000}, {"value": "BRANCH", "count": 2000}]"
MONTH_DT,202203,numeric,49557,0,1,202203,0,202203,202203,
ACCT_ID,202203,numeric,49557,0,8500,55000.2,25000.5,10000,99999,
TXN_TYPE,202203,categorical,49557,0,15,,,CREDIT,WITHDRAWAL,"[{"value": "CREDIT", "count": 20000}, {"value": "DEBIT", "count": 18000}, {"value": "TRANSFER", "count": 10000}, {"value": "WITHDRAWAL", "count": 2000}]"
TXN_AMT,202203,numeric,49557,5,49457,5500.50,3200.25,0.01,999999.99,
